header,review,rating,name,location,date
Has potential to be great but misses the mark,I don’t understand why the parents have to set an interest rate for the children to receive interest. All bank accounts should have an interest rate from the bank. Especially if it costs money to have an account… The learning tools are nice. The debit card is cool and my kids were really excited to have their own debit card.,3,Max,United States,2024-01-10
Mostly positive experience but customer service and shipping are subpar,"My girls (ages 10, 11,12) have really enjoyed this ap. They love being able to make purchases for their games online, having the card to use, and being able to monitor their earnings/savings on the ap. I like them being able to have a little autonomy with their money but also being able to set limits and monitor what they spend. These will be very convenient for overnight trips or amusement park trips so I can monitor what they have spent and add money if needed without having to worry about them keeping track of enough cash for several days. I was very disappointed in how long it took for the cards to arrive. Cards arrived MUCH later than indicated when the order was placed and they do not track them, so they couldn't tell me if they were lost/stolen/delayed. The customer service rep(when I tried to contact them about the delayed cards) was very dismissive and not helpful. I would rate the cards a 4, but the experience in getting them and customer service a 1.",4,JBW,United States,2024-01-09
Easy to use and really cool to have,,5,Camden Eagan,United States,2024-01-09
Best thing since sliced bread,Best thing since sliced bread. When my daughter is out and about and needs more money I am able refill the card on the fly. So much peace of mind,5,customer,United States,2024-01-07
I love this app it makes my kids…,I love this app it makes my kids getting their allowance so easy and they love learning about how to invest and save while earning money as well,5,Amanda,United States,2024-01-07
I like the way the app shows little…,I like the way the app shows little ones how to become responsible with money and how to build credit,5,Eddie Nichols,United States,2024-01-07
Amazing!!!,This app has been such a help in getting my kid to do stuff around the house!!!,5,Nichole Maggio,United States,2024-01-06
I replaced a new card to my daughter…,I replaced a new card to my daughter before Christmas but the never come till today and I can't even replace again.,1,Stella Xiong,United States,2024-01-05
My Child is Learning,It's helping my daughter understand financial life situations.,5,James Williams,United States,2024-01-05
Incredibly useful for managing your…,Incredibly useful for managing your child’s money AND educating them about money at the same time!I would pay a subscription just for the Learn tab!,5,customer,United States,2024-01-05
Super easy for both parents and kids to…,"Super easy for both parents and kids to use. Set up the app in less than 5 minutes, was able to give both 9yr old and 12yr old some financial responsibility with their own money.",5,Consumer,United States,2024-01-05
Awesome so easy to use,,5,Carrie Maloney,United States,2024-01-05
I'm having a great experience so far,I'm having a great experience so far. Fast money moving and great qualities. I love how fast the app works and the good opportunities that you can do. Overall amazing.,5,customer,United States,2024-01-04
My custom cards never came,"My custom cards never came, I had to order new cards and they are taking to long to be delivered.",2,customer,United States,2024-01-04
Great for my child and i,,4,Hj,United States,2024-01-04
EasyConvient way to send my grandchildren…,Convient way to send my grandchildren money on their special days.Thank you,5,Sue Ann Palladino Bellew,United States,2024-01-04
great app teaches kids financial responsibility,It's a great app that teaches kids financial responsibility in games and teaches them basically the importance of money. And why we spend it and how we make it.,5,Js,United States,2024-01-04
User friendly app,,5,Michael Collins,United States,2024-01-04
Great concept for kids to learn money management,"I absolutely love this card and the app. My children are super excited, motivated to earn and learn money management it's fun and easy. They have their own login into the app to check they balances and complete missions to earn more money. It's a good and neat concept to teach kids finances, I would give it 5 stars but I would like to be able to do allowances daily, weekly and monthly and you can only do weekly allowance but overall I really like this card and app the monthly fee isn't bad for all the things you get compare to other cards I've read about plus they have the cutest card design which makes transactions fun when they pull they cute cards out.",4,Brittney R,United States,2024-01-03
Some people get paid every two weeks,I like GoHenry but I can't put money in every week. It has Tobe every other week,5,customer,United States,2024-01-02
It's a great incentive for my…,It's a great incentive for my granddaughter.,5,Darrell ,United States,2024-01-01
I love that GoHenry gives me the…,I love that GoHenry gives me the flexibility to add money to my child’s card from anywhere. While teaching him financial responsibility.,5,Kelli Rosenburg,United States,2024-01-01
I like everything about the app except…,I like everything about the app except for the fact that it won't take my chime checking account debit card so I have to load it on another card before I can load my grandson's card. I think you should be able to use my checking card.,3,Janna McNally,United States,2023-12-31
Very hard for second parent to manage…,Very hard for second parent to manage things. A lot of things seem restricted to the parent that created the child's account.,2,customer,United States,2023-12-31
Great app with features you will actually use!,"My 11y/o loves having the freedom to purchase the things he wants, and to contribute to crowd funding efforts of creators he likes, and I love the weekly reminders that allowance is coming up. In the time since we started using GoHenry my son has started utilizing the savings account (all on his own!) and we both agree that being able to give family members any easier way to give the gift of cash without having to use literal cash was amazing this Christmas!",5,Kelly Dixon,United States,2023-12-30
I love the concept,I love the concept! It’s a little confusing gettting started!,3,Beth INCARDONA,United States,2023-12-30
New member,I only recently joined but so far it’s been a great experience and my child is enjoying the learning experience,5,customer,United States,2023-12-30
It was been so good for Bri she has…,It was been so good for Bri she has came a long way with helping now since she has her own card to get her own things with now I think all kids should have a chance with it,5,Deweana,United States,2023-12-30
My kids and I love this card,My kids and I love this card. It teaches financial literacy in a way that they can totally understand. And the allowance incentive creates an eagerness to help more around the house.,5,Happy Mommy,United States,2023-12-29
My daughter loves all the lessons and I…,"My daughter loves all the lessons and I love that she’s building healthy money habits! However, some aspects of the app have been confusing to navigate but resolved once I reviewed the FAQs.",4,Erin,United States,2023-12-29
Happy momma,"My so. Has his “own credit card” that he can control what he buys with the chore money he earns. He loves it, great motivator",5,John Cobb,United States,2023-12-29
Building responsibility,"This is a great way to encourage my daughter to complete chores and tasks around the house while earning her own money. She feels a sense of ownership and responsibility now!! It’s super easy to load money onto the account, invite family to join in with incentivizing her and editing tasks as needed! We love it",5,kimberly white,United States,2023-12-29
Good wonderful,,5,Escarlin Prado,United States,2023-12-29
Very easy to use and explain to kids,,5,Omar Caton,United States,2023-12-29
It’s easy for grandson to use,,5,customer,Mexico,2023-12-28
Best way to handle giving a kid money,Best way to handle giving a kid money. My son has lost his card so many times and it is so easy to shut off and get a new card. Best idea yet for parents and grandparents to gift money!,5,V Ivez,United States,2023-12-27
The ease of use,"The ease of use , the joy of my 7 year old daughter having the independence of using her own card and money .Managing and learning money from early .",5,Raisa,United States,2023-12-27
It good and u should try it,Everything,5,Caleb Harris,United States,2023-12-26
Easy to use for under standing,,4,Noah Martin,United States,2023-12-25
Safe,I only been with GoHenry for only a week.,3,Kenneth Kaio,United States,2023-12-25
Love that my son has his own card,,5,Heather Ludlow,United States,2023-12-24
Kids love it.,I’m teaching my kids how to earn money by doing chores,5,Joseph Canella,United States,2023-12-23
My daughter loves having a card with…,My daughter loves having a card with her name and love that i can put money in the card every time she gets a good grade and does her chores love it thanks for this,5,Maria,United States,2023-12-23
Nice,Very easy to navigate on time,4,Raheem Williams,United States,2023-12-23
So far so good,We have had this card for about 2 weeks and so far it has been good. We did have a glitch which showed 10 dollars missing but it was fixed. I found out this card isn't accepted at walmart which has me bummed but ita not the end of the world. So far we like it.,4,Rachael,United States,2023-12-22
She wants to save it all!,Our daughter is wanting to save her money and only spend it if necessary! So proud of her!,4,Erin,United States,2023-12-22
So excited about an app that’ll help…,So excited about an app that’ll help teach our teenage daughter the value of money and the understanding of finance.,5,David Harrell,United States,2023-12-22
I use this app to set up money for my…,I use this app to set up money for my kids and it's great,5,muirfboy jones,United States,2023-12-21
Credit card charge,I have recently transferred from my credit card to my grandson £200 and £7.98 charge has shown up on my credit card statement.I unfortunately didn’t read terms and conditions when I made transfer as in a hurry to do transaction and I am 76 so don’t understand a lot of T/C’s. I have since found out that Tescos Bank made the charge and they will also add ‘interest’ so I must remember to use my bank debit card in future to avoid these transaction charges.,1,Sheila pullen,United Kingdom,2023-12-21
I love the app it’s really good I recommend it help me learn how to save spend and I recommend it,I love the app it helped me to save and spend,5,Houston Jemison,United States,2023-12-20
As a long time Acorns customer I was…,"As a long time Acorns customer I was excited about this service, in addition to being a social media influencer I was excited to share this resource with my followers. Unfortunately I had to cancel immediately after activating this account because the address they had on file to verify me was an old address. I called the next day and they said well unfortunately we can’t update it until you send us your driver’s license but we’ve already sent out the card. I asked if they could stop the card from being sent out since I no longer live at the address and they said no. Needless to say my son’s card will be out there floating around at an old address because they refused to be proactive. I’m super disappointed with my experience and I hardly ever leave bad reviews.",1,Tiara,United States,2023-12-20
It's a good guidance and a good…,It's a good guidance and a good relation to help me deal with my child and for him and her to be able to understand that being on task and doing home chores and working too what to success and earning in order money,5,customer,United States,2023-12-20
Good 😊 app easy for kids,,5,Hana,United States,2023-12-19
Love it,I love not having to use my debit card for my grandsons purchases.,5,Kathy Chappell,United States,2023-12-19
Perfect little starter card,"I got this card for my 12 year old. I am hoping the card teaches him about saving. I love that the app allows me and my son to see where he is purchasing things and for how much. The card has made him more responsible with his chores. He knows if he doesn't stay on top of his responsibilities, he isn't getting any money! I thought this card would be more of a learning experience for him, before opening up an actual bank account for him. So far, we are really liking the card and app. I recommend!",5,Lindsey,United States,2023-12-19
I really like the chore feature,"I really like the chore feature.That is a huge selling point and my son now wants to do chores.I don’t understand why the child “savings” account does not yield real interest.If I’m trying to teach my child financial responsibility and long term investing, This app is contraindicative to that lesson.",4,Mary Burk,United States,2023-12-19
Kids love it and no doubt it helps with…,Kids love it and no doubt it helps with their money management,5,Andrew Ward,United States,2023-12-19
Great learning tool,I decided to help my kids learn and earn with the GoHenry app and so far it’s been very successful,5,Steven H,United States,2023-12-19
i love this app,"i love this app, it’s helps so much being able to do things on my own and pay for things on my own without having to get cash from parents or using my parents card.",5,Madi Wakefield,United States,2023-12-18
Kids love it teaching them to save,,5,Melissa Bigelow,United States,2023-12-18
The card and app is awesome I love the…,The card and app is awesome I love the adventures,5,Caity C,United States,2023-12-17
Pretty great and easy,"Pretty great and easy, never experienced any troubles with it at all",4,Colin Jones,United States,2023-12-17
Easy to use so far,Easy to use so far. Only just got the cards for my family. We will see.,3,JC,United States,2023-12-15
I love the app,I love the app. Am interested to see if the lessons grow with maturity since my child is 9. Would a teen use this app.,4,customer,United States,2023-12-14
A great way to manage allowance,"A great way to manage allowance for my tween. I like that I can keep track of chores/tasks, her spending and saving. She likes that she can earn extra money by completing tasks and financial learning and she feels mature and independent, using her own credit card.",5,Books and Cookies,United States,2023-12-13
I like how informative the GoHenry app…,I like how informative the GoHenry app is for teens I like how it teaches them responsibility. I like how it teaches them about being responsible about money.,5,Ini Mbaba,United States,2023-12-13
The whole process was easy to set up…,The whole process was easy to set up and understand. Like the fact we can set goals for the week and how easy it is change them if we need to. We like the fact there is a saving plan and other useful information. Fees are minimal which is good.,5,MJ,United States,2023-12-13
My daughter and I just love this app!,,5,Michelle Sandoval,United States,2023-12-12
Best money app I’ve had so far!,"It helps me keep track of money, invest, and spend freely.",5,Sophia Quesada,United States,2023-12-12
It was hard to get in and to use the…,It was hard to get in and to use the debit card but overall it was great,4,aaralyn altom,United States,2023-12-11
Great experience,,5,Jessica Jost Querio,United States,2023-12-09
Great learning for the kids,Great learning for the kids. Easy to give and share.,5,audio,United States,2023-12-09
The money arrived quickly to my grandson,,5,customer,United States,2023-12-08
I do like how simple it is to use the…,I do like how simple it is to use the app and the refferals bonus is a major bonus!,5,Amy Barnard,United States,2023-12-08
So far it's been really great,"So far it's been really great. They take the money out when they're supposed to instead of waiting 4 or 56 days. And it's really easy for my daughter to get in and mark off. Chores, etc, it's great.",5,Caswell,United States,2023-12-07
The boys actually enjoy managing their…,The boys actually enjoy managing their accounts! They enjoy being able to request money more! Fees are a tab bit expensive but that’s fine bc it helps me teach them to manage their monthly fees also. They’re doing 10xs with saving. Lots of very helpful tool on this app also.,5,Amber Bostic,United States,2023-12-06
Easy to use,"Easy to use, and hassle free way to help kids manage their spending",5,Teresa Ballaro,United States,2023-12-05
Very good service,,5,Cody F,United States,2023-12-03
Kids are doing chores without me having to ask or prompt them!,"They task us are very motivating for my kids. And it’s been helpful for me as well. Even my eight-year-old is watching all the videos and excited about what he has learned about money! I only wish there was a way to modify the test for biweekly, or on a particular day of the month, but other than that it’s been great",4,Laura Hall,United States,2023-12-03
My 3 kids love their cards they feel so grown up!,"I ordered 3 cards for each of my kids. They are 10, 12, &14. They all love them and it's teaching them responsibility the features on the app are great.",5,Heather R.,United States,2023-11-30
Makes it easy to use especially since a…,Makes it easy to use especially since a lot of the places my kids visit are cashless now,5,Cara Walker,United States,2023-11-30
I love the idea,I love the idea. I love the card. I love the links for family members to send money. I’m so excited to give my daughter this card. I highly recommend for parents that are trying to introduce the value of hard work to their children.,5,Veatrese Fletcher,United States,2023-11-30
Perfect for allowance,I use this app for giving my kids allowance for chores and more. It’s so easy to use and there are lessons for helping them learn to manage money,5,Katherine Sagebiel,United States,2023-11-29
So far so good I love the app it’s easy…,So far so good I love the app it’s easy to just send my daughter money when she needs it and I’m only working with a card lol,5,charmaine milliken,United States,2023-11-28
Needs more options!,"I'd really like more options for charitable giving. If you follow the Dave Ramsey approach of spend/save/give, the GIVE option needs to be able to be much higher (based on their allowance). I'd like a large range of places to GIVE to...charities that would fit a child's interests and passions....animals, the environment, children's causes, schools, clean water...so many options, leading them to find something that they actually CARE about and WANT to donate to.We would like the option to change the debit card PIN number, just like an actual debit card from a bank. I'd like the option for the child to send money to me....to pay me back for a purchase made, or to be 'billed' if I need to 'hire' a sibling to do her chore, etc.",3,customer,United States,2023-11-28
The app won’t work on my sons iPad so…,The app won’t work on my sons iPad so he can’t claim his tasks for himself,1,Amanda,United States,2023-11-26
Great my child is using the tools…,Great my child is using the tools provided great app,5,John Williams Vientedose,United States,2023-11-25
Easy to use,Tons of options for tasks and so easy to use.,5,B CARLE,United States,2023-11-25
Amazing app,Amazing app. It teaches my daughter lessons that I would have. A positive way to put her to work.,5,Shaheed Muhammad-Black,United States,2023-11-23
Nice idea,Kid got the money so all is good.,5,Steve,United States,2023-11-22
We have only been with Go Henry a short…,We have only been with Go Henry a short while. However it’s been well. My daughter has been completing missions to earn money and then I give a separate quiz out side of the quiz she’s given in the mission and she’s learning about money. She is also paying more attention to her spending and wanting to put funds in her savings.,5,Whitney,United States,2023-11-22
Everything is so easy even maneuvering…,Everything is so easy even maneuvering through the web page,5,gdigregoriocomcast.net,United States,2023-11-21
Love love my kids love it easy and…,Love love my kids love it easy and convenient to use,5,LaShunda Williams,United States,2023-11-21
It’s great,"It’s great, I love using Thai app for my son and his shores",5,pamela lantigua,United States,2023-11-21
Motivational for kids.,,4,Brandolyn Gardner,United States,2023-11-20
Allowances App,This app is very helpful in managing the allowances for our Daughters. It has been a great help.,5,Johnathan Walker,United States,2023-11-19
It helps my child start to learn…it helps my child learn responsibility and help more.,It helps my child start to learn responsibility. I think some of the chores are to basic that are listed.,4,Margaret Cacciatore,United States,2023-11-18
Love it,Have used forever so great,5,Maliena Smith,United States,2023-11-18
Membership is too much,,1,Janette Gonzalez,United States,2023-11-17
Love the card,,5,Delaney Paquin,United States,2023-11-17
We are unsure how to change childs pin…,We are unsure how to change childs pin for card. Don’t lile how always being pressured to put money on .,3,customer,United States,2023-11-15
I just need money,,5,Amir Walker,United States,2023-11-15
This app is very easy to use and the…,This app is very easy to use and the customer support is friendly and responds to you quicker than I've experienced with other apps. They will answer any and every question you have no matter how many and still stay friendly unlike other apps. I recommend Go Henry. I love it and so do the kids.,5,SHEENA HART,United States,2023-11-15
Love the ease of use with this card,,5,customer,United States,2023-11-14
I Highly Recommend this debit card !!!!,I absolutely love it I love that both my kids can have their own debit card personalized at that not just my teenager. It's not expensive a month and it does teach the kids quite a bit,5,Patricia Aufrecht,United States,2023-11-13
This app is a great way to do chores &…,This app is a great way to do chores & encourage the kids to earn their money. The only thing I wish is that it was easier for others to send the kids money (cash app or zelle style),5,Quiyana Burt,United States,2023-11-13
These cards are the best!,"They help my kids learn about saving and other money management concepts, and let them feel they can make independent decisions about what they buy online and in person.We love GoHenry!",5,Brook Barajas,United States,2023-11-12
Horrible experience,Horrible experience. Closing the account down. Sent an email for help never responded however I keep getting these to rate your service. It’s a joke.,1,Samantha,United States,2023-11-12
Easy access,,5,Patrick Troy,United States,2023-11-11
If you fixed a couple things I’d be all in,I like the idea of this app. It has helped us to be consistent with allowance. There is one frustrating thing and one thing that made me wish I had never signed up for it. The frustration is 70% of the times I tick a chore/task it disappears a split second later and I have to re-check it. The one that I hate the most is that you asked for my child’s pronouns….totally unacceptable to bring this into children’s apps. I specifically didn’t sign up for another one for this reason…they asked up front so I went with yours only to find you ask later on. Because you did I can see I don’t trust you with my children and will not allow them to use the app…we just use this as our method to check chores and. I thing more. I don’t need someone asking my 6 year old for his pronouns…keep gender politics out of my face and my parenting. That should not be required.,3,JL,United States,2023-11-10
Money Saving Tool,It’s a great way to show kids how to save money and teach them the responsibility of how to use money.,5,Estelita Colbert,United States,2023-11-10
If you need to teach your child how…,If you need to teach your child how money works this is it.,5,NubianGod,United States,2023-11-10
Super cool app,"Super cool app. Teaching my daughter about the responsibility of doing the chores, but also seeing how each chore progressed her pay, and also how much money she is to give up by not doing the work. My daughter has mandatory chores and optional chores so the money she gets each week is not the same. I love that it just automatically transfers for the amount of money for the chores she completed. She loves feeling mature using her own debit card to pay for things.",5,Samantha Garcia,United States,2023-11-10
It’s great for showing your child…,It’s great for showing your child responsibilities and accountability!,5,Amy Davidson,United States,2023-11-07
Love it,"Love it! Easy to use, and so convenient for our little ones",5,Marisa Greer,United States,2023-11-07
It’s really good,,5,Ezequiel Cruz,United States,2023-11-06
Grab card easy to use and load,,5,customer,United States,2023-11-05
carrie’s 5 start review,the apps just amazing and very trustworthy,5,carrie,United States,2023-11-04
This has really helped with getting the…,This has really helped with getting the kids to willingly do chores and help around the house knowing they are getting a weekly allowance. They are excited to use their cards at the store as well.,5,customer,United States,2023-11-04
I love it when the kids do so good on…,I love it when the kids do so good on school I send them allowances everyday and by the end of the week I let them buy watever they want for doing so great in school,5,Lawanika Thomas,United States,2023-11-03
This app has been great.,,5,Ben,United States,2023-11-03
My kid really enjoys seeing his…,My kid really enjoys seeing his potential earnings each week . And I enjoy having the benefits showing him how to spend on a budget.,5,Trumiana Johnson,United States,2023-11-03
My son absolutely loves this card!,"My son absolutely loves this card! It is so nice for when he isn’t with us but needs money for certain things, movies, snacks, or places with friends, etc. He also uses it to save! He has been saving a percentage since he opened it and I couldn’t be prouder. This has been a great help with getting him introduced responsibly to the financial world!",5,Shelby Ellies,United States,2023-11-02
Child is unable to log in on her profile,,1,customer,United States,2023-11-01
My daughter would not use my debit card…,My daughter would not use my debit card in stores with out me because she didn't know how to use it but since she got her own she is using it wisely and loves it,5,customer,United States,2023-10-30
Easy to use for myself and my son,Easy to use for myself and my son! Love watching him learn about money!,5,Dawn Hendrixson,United States,2023-10-30
How complicated of a process it is,How complicated of a process it is. Double verifying everything and how long it takes to transfer mo ey from the parent account,3,customer,United States,2023-10-29
I put money on the card and it was a…,I put money on the card and it was a little extra and could not get it back to my account. I used the ask for help but never got a response..,2,JustAnswer Customer,United States,2023-10-29
Great way to teach kids money management,Great way to teach kids money management! I love how I can reserve money without her actually having access to it. I can simply move money over to her card when it's time.,5,Michelle,United States,2023-10-29
Very user friendly,,5,Nina Ronyetta Taswell,United States,2023-10-29
This program has taught the kids about…,"This program has taught the kids about saving, giving,goals etc. I can track their spending etc . It's amazing",5,Cecilia Borcherding,United States,2023-10-29
Great for keeping on doing their chores…,Great for keeping on doing their chores and helping them with money.,4,Sammi Carrillo,United States,2023-10-27
Card doesn’t work,,1,Timeka Bignall,United States,2023-10-26
Love the family access.,,5,Tiffany Simmons-Dunn,United States,2023-10-26
I love the app and how I can control my…,I love the app and how I can control my daughter's spending,5,Kay Robinson,United States,2023-10-25
Sit down with child and go through details of app,"Frustrated by all thePass words and ids, but like the idea.I need more work.",5,Maria Freeman,United States,2023-10-23
It’s easy for my daughter and me to use.,,5,"Susan D Eubanks, RN, BSN",United States,2023-10-22
This app is genius,This app is genius. If only we had it as kids the majority of Americans would not be living from paycheck to paycheck. I’ve learned plenty about money management through using this app with my son. The interface is intuitive and simple.,5,Thaivan Greenfield,United States,2023-10-22
GoHenry is a great money learning app for kids,"GoHenry is a great app for kids to learn about money. As a mom, I never have cash so giving my kid an allowance was always less than exciting for him because I would always say “Oh, I’ll pay you tomorrow.”But with the GoHenry app, he can see his money earned and it feels more like the tasks he does around the house is adding up.",5,Bobett,United States,2023-10-21
Love the app,Love the app. Weekly rewards could be a little more robust and easy to use but overall we love it. The card is not here as it is supposed to be yet.,4,MrRbnsn at Home,United States,2023-10-20
Great way to teach my son the value of…,Great way to teach my son the value of a dollar.,5,Manny Martinez,United States,2023-10-19
N/ajdjjdjdjjdj,,5,shannell carlisle,United States,2023-10-18
I like that I can get my younger kids…,I like that I can get my younger kids started with a card so they don’t have to carry cash but when they want to buy something we have a card and they can learn and save as well.,5,Tavia Cannon,United States,2023-10-17
Great app,"Great app, making the kids learn how to spend and save, great tools and missions for the kids to accomplish and make money 💰",5,"Gilbert-Anaheim,CA",United States,2023-10-16
By far this is the greatest method I’ve…,By far this is the greatest method I’ve been introduced to,5,Valjean McGaughey,United States,2023-10-16
It’s great for kids,It’s good for kids and parents,5,Olivia Emerald,United States,2023-10-16
"Good, but make the kids pin easily accessible on the kids page",It was pretty good until I couldn’t find out my card pin for a while please put it on the kids side,5,THE GRINCH,United States,2023-10-16
Great features!!!,Great features!!!The learn feature is great for my child.,5,customer,United States,2023-10-15
Doesn’t work everywhere,Did not work anywhere my daughter wanted to use it,1,customer,United States,2023-10-15
Everything,,5,Consumer,United States,2023-10-14
Great app and secure card for Kiddos,Great app and secure card for kiddos,5,Christina Sees,United States,2023-10-14
Easy to Use for Parents Motivating for Kids,This app has made allowance easy to award/earn. It also has helped keep my kids motivated.,5,Michael,United States,2023-10-13
Featurefull without losing purpose.,"The system for me is intuitive and in-line with my values on money and investing. I did try to teach my kids financial lessons but not as effective and consistent as this. With this resource, I can measure how well they learn and configure further my setup. We appreciate that it has all the aspects of finance even charity. Good work.",5,Joemaster,United States,2023-10-12
Convenient Easy to navigate,,5,Colemans ,United States,2023-10-11
My daughter loves having her own card…,My daughter loves having her own card and the app is super easy,5,Cortina Spann,United States,2023-10-11
Cool,Sdthhhyggtg,5,Jean Severin rd,United States,2023-10-11
Game Changer in Our Homes,"This has made chores and financial intelligence so much easier. You assign chores (GoHenry give you suggested amount based on age) and each day you check them off. Your child receives notification that the chores are complete. Each week they are paid with money going into a main account, savings account and then for use a laptop account. We have seen that financial literacy has improved for our 7 and 9 year old sons.",5,Richard,United States,2023-10-11
Earning allowance,My kids are more likely to do there chores and homework knowing they are working for something that is there own and I am so proud of the changes in attitude it has also helped them with,5,Heather,United States,2023-10-10
Great,"Great, easy to use",5,Phyllis Bartlett,United States,2023-10-09
Daily chores,"So far we like it but it might be simpler if the daily chose were lumped into days instead of listing the day above each one. Like Monday - list of chores instead of listing the day then the chore, day then chore. It sometimes takes a bit to find the right day and chore to check off. If they were all listed under one day it would be easier to find the correct day and check off from there",4,Erin,United States,2023-10-09
I be making a lot of money,,5,Jaquavion Chambers,United States,2023-10-09
Really great parental controls and UX,Really great parental controls and UX. I wonder how the fee model will survive as more banks are offering similar products.,5,Benjamin Farber,United States,2023-10-08
Came across on my acorns app one…,"Came across on my acorns app one evening, and boom! I had been really thinking lately about getting my 13 yr old a debit card. I looked into it, read all the descriptions. Its a perfect fit for him! Love the side missions that teach them, the separate task that i can assign for money etc. I would recommend to anyone.",5,Chase,United States,2023-10-08
Awesome job,,5,Michael Weaver,United States,2023-10-08
Great technique to teach your kids to work with money,Happy customer,5,Ángel Car tonka,United States,2023-10-07
Pretty radical,,5,PengyAnimations,United States,2023-10-07
can't configure that the allowance is…,"can't configure that the allowance is not auto pay, nor the tasks. Also I can't seem to go back a week to check off tasks if that ""transfer date"" already passed.",3,customer,United States,2023-10-06
App is easy to use,"App is easy to use. It’s easy to add money and tasks. I would like it if I could remove some of the notifications on the main screen, such as “add a coparent”, and reorder the tasks. My son’s father is not alive and I don’t have a coparent.",4,JenJo,United States,2023-10-06
No option online to retrieve money from the app back to your bank account,I opened an account for my kids and after familiarizing with their app I noticed they do not have any option to retrieve money from GoHenry back into my personal account. I don’t like the restriction and therefore I will cancel my account.,2,Chester Spitzer,United States,2023-10-06
It’s a great idea,"It’s a great idea. But I think there should be a pay when you want function instead of a mandatory locked payment schedule. I also think the savings account should pay interest to the child account holder, not the parent.",4,Heidi Tilbury,United States,2023-10-06
No app use for relatives,I find it ridiculous that relatives can't use the app to give money. It's not 1950 anymore I shouldn't be forced to use a website.,3,customer,United States,2023-10-06
I’m loving it just needs to add zelle,,4,Dakeyla Wilson,United States,2023-10-05
This app is awesome,,5,Blake,United States,2023-10-05
Helps kids want to work for things.,It’s made my kids want to work for things so they can get paid on a card.,5,Megan M. Edwards,United States,2023-10-04
i love shes learning about money and…,i love shes learning about money and what it takes to get what she likes needs or wants and the difference.,5,Suzette Martin,United States,2023-10-02
Love the ease of the app,Love the ease of the app. I can transfer $$ easily. Only gripe I can't figure out how to delete a child.,5,Marlana,United States,2023-10-02
So amazing💖,"My child is super excited about chores now because of this app. This app is a good help around the house, dishes and tasks that my daughter needs to do like homework make her bed and all that stuff. This is one of the best debit card apps in the whole entire world.",5,The gaiser’s,United States,2023-10-01
Great for kids,,5,customer,United States,2023-09-30
Great learning tool for young spenders,,5,ian didriksen,United States,2023-09-30
I like the missions where kids can…,I like the missions where kids can learn skills about money and earn money while doing it. I wish there was a way to transfer money out of their account back to parent wallet.,4,Jean Stone,United States,2023-09-30
Super fun app,"Super fun app. Easy for my 9 year old to use. Very happy, highly recommend",5,Taylor Frazier,United States,2023-09-30
Love this,Love this Great for teaching kids how to earn and save !!! Very user friendly,5,Tinika Becker,United States,2023-09-29
I’m just starting out with go Henry…,I’m just starting out with go Henry card’s but it’s giving the kids there independence to understand the concept of money,3,Rhonda Rutledge,United States,2023-09-28
Tĥe agent was very helpful The agent was very helpful when I had…,The agent was very helpful when I had trouble with my password. She was very courteous and understanding.,5,Rachelcustomer,United States,2023-09-26
She can earn her own money,It show our daughter how earn her own money like a job .and if she doesn't do the the job she doesn't get paid.,5,Donna Berthiaume,United States,2023-09-26
Good,I learned new things,5,Kaison Walker,United States,2023-09-24
This app and card has made things so…easy,This app and card has made things so easy! When my son needs money I just transfer it. And their allowance is on auto pilot ! Thank you go Henry!,5,Veronica McDavitt,United States,2023-09-22
Awesome and very Useful,,5,King Josiah,United States,2023-09-22
It’s a great learning experience for my…,It’s a great learning experience for my son,4,Heidi Burchett,United States,2023-09-21
thank you,thank you for your time & consideration,5,cba,United States,2023-09-20
Can't Imagine A Worse Experience,Onboarding was choppy. Support has been less than impressive. Connected my bank on onboarding. The account tied to my card is not my account. Customer service is awful. Haven't responded in weeks.,1,Max Anderson,United States,2023-09-19
I like how GoHenry has a chart to go by…,I like how GoHenry has a chart to go by for allowance and even chores. I don’t like that we have to pay for use of this card,3,customer,United States,2023-09-19
Great,I’m was easy to sign up and use the app.,4,Shirley Hollinquest,United States,2023-09-19
Enjoying this app so much lessening…,Enjoying this app so much lessening money management,5,Ally,United States,2023-09-18
Thé app is very great,,5,Pierrot Marcellus,United States,2023-09-17
Great way to motivate the kids to do…,Great way to motivate the kids to do their chores,5,Kristin Thornton,United States,2023-09-13
Happy with this app😀easy to use!,,5,Nancy,United States,2023-09-12
I really don’t have anything bad to say…,"I really don’t have anything bad to say about this app. I feel my kids have really learned about saving, spending , and giving while managing their own accounts with my help of course.",5,All Hewitts,United States,2023-09-10
Somewhat confused about how much money…,Somewhat confused about how much money comes out of my account,3,Shelley,United States,2023-09-10
Y’all are awesome for my kids!!!,,5,bri Shepherd,United States,2023-09-10
Awesome for kids,"I wish I’d had this kind of information growing up, this is so empowering for my kid!",5,Amanda Stanton,United States,2023-09-10
Do not like the fees,,3,customer,United States,2023-09-10
Money management,I love how it helps me to know what to discuss with my child about how to handle money.,5,Kimberly petre,United States,2023-09-09
I love this app because I can monitor…,I love this app because I can monitor their money & what they spend it on.,5,Margaret Moreno,United States,2023-09-09
Helps me teach my grandsons about money,,5,Diana Slaughter,United States,2023-09-09
It’s cool but mostly effective and…,It’s cool but mostly effective and efficient,5,D'Auntae Baker,United States,2023-09-09
Good experience for teaching children…,Good experience for teaching children financial goal.,4,Kimberly Dean-Ashton,United States,2023-09-09
